time_s,x_m,y_m,z_m,vx_mps,vy_mps,vz_mps,analytic_error_m
2339.806173,-5804446.04521,3769451.33682,0,-4133.26224381,-6364.66571393,0,0.000638321328033
2349.35640228,-5843600.66431,3708461.74947,0,-4066.38620911,-6407.59936519,0,0.000649797913298
2358.90663156,-5882114.46679,3647065.48751,0,-3999.06424934,-6449.83035096,0,0.000656761686935
2368.45686083,-5919983.22919,3585269.28377,0,-3931.30374709,-6491.35404015,0,0.000645844006655
2378.00709011,-5957202.7988,3523079.91489,0,-3863.11213307,-6532.16587922,0,0.000630249249886
2387.55731939,-5993769.09406,3460504.20065,0,-3794.49688526,-6572.26139268,0,0.000665269969498
2397.10754867,-6029678.10506,3397549.00316,0,-3725.46552809,-6611.63618362,0,0.000806886506389
2406.65777794,-6064925.89394,3334221.22615,0,-3656.02563164,-6650.28593414,0,0.00103565847009
2416.20800722,-6099508.59531,3270527.8142,0,-3586.18481078,-6688.20640587,0,0.00127501422159
2425.7582365,-6133422.41674,3206475.75197,0,-3515.95072436,-6725.3934404,0,0.00144197296797
2435.30846578,-6166663.63915,3142072.06346,0,-3445.33107434,-6761.84295975,0,0.00147065870164
2444.85869505,-6199228.61724,3077323.81124,0,-3374.33360497,-6797.55096683,0,0.00133420665352
2454.40892433,-6231113.77993,3012238.09571,0,-3302.96610193,-6832.51354585,0,0.0010779315279
2463.95915361,-6262315.63074,2946822.05431,0,-3231.23639143,-6866.72686277,0,0.000847204098589
2473.50938289,-6292830.74828,2881082.86079,0,-3159.15233942,-6900.1871657,0,0.000793097938672
2483.05961216,-6322655.78609,2815027.72411,0,-3086.72185074,-6932.89078534,0,0.000791268630261
2492.60984144,-6351787.47345,2748663.88792,0,-3013.95286822,-6964.83413539,0,0.000792602883579
2502.16007072,-6380222.61575,2681998.62976,0,-2940.8533718,-6996.01371289,0,0.000799567651647
2511.7103,-6407958.09476,2615039.26024,0,-2867.43137766,-7026.42609864,0,0.000808469013471
2521.26052927,-6434990.86893,2547793.12219,0,-2793.69493737,-7056.06795759,0,0.000813017779586
2530.81075855,-6461317.97381,2480267.5899,0,-2719.65213695,-7084.93603918,0,0.000808627841462
2540.36098783,-6486936.52232,2412470.06831,0,-2645.31109604,-7113.0271777,0,0.000797757068096
2549.91121711,-6511843.70512,2344407.99218,0,-2570.67996696,-7140.33829263,0,0.000789771363386
2559.46144638,-6536036.79087,2276088.82529,0,-2495.76693386,-7166.866389,0,0.00079235483515
2569.01167566,-6559513.12656,2207520.05962,0,-2420.58021178,-7192.60855771,0,0.000801622503594
2578.56190494,-6582270.13776,2138709.21451,0,-2345.1280458,-7217.56197583,0,0.000803882374434
2588.11213422,-6604305.32895,2069663.83586,0,-2269.41871009,-7241.72390695,0,0.000791811542214
2597.66236349,-6625616.28372,2000391.49528,0,-2193.46050703,-7265.09170142,0,0.000785391554477
2607.21259277,-6646200.66509,1930899.78926,0,-2117.26176629,-7287.66279672,0,0.000837550024673
2616.76282205,-6666056.21571,1861196.33833,0,-2040.83084393,-7309.43471765,0,0.0009898005579
2626.31305133,-6685180.75817,1791288.78626,0,-1964.17612146,-7330.4050767,0,0.00121586929093
2635.8632806,-6703572.19518,1721184.79918,0,-1887.30600496,-7350.57157423,0,0.00143996867294
2645.41350988,-6721228.50984,1650892.06475,0,-1810.22892409,-7369.93199875,0,0.00158039905856
2654.96373916,-6738147.7659,1580418.29136,0,-1732.95333126,-7388.4842272,0,0.00157619746795
2664.51396844,-6754328.10793,1509771.20724,0,-1655.48770058,-7406.2262251,0,0.00141330404723
2674.06419771,-6769767.76164,1438958.55964,0,-1577.84052705,-7423.15604684,0,0.00115912289207
2683.61442699,-6784465.03405,1367988.11403,0,-1500.02032552,-7439.27183587,0,0.000970079185577
